Fakultas,Jurusan,Kelas,Asal kampus,Apa minat kamu?
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Saya cukup minat dengan UI/UX
Fakultas Teknologi Industri,Teknik Industri,1ID##,Universitas Gunadarma,"Minat saya dalam bidang IT adalah data science, sebab Dengan mempelajari data science kita akan mempersiapkan diri terhadap tren teknologi di masa depan, karena data science menuntut kita untuk bisa problem solving, Melihat serta menganalisis suatu data dan juga para data scientist ini sangat dibutuhkan oleh perusahaan di masa yang serba menerapkan teknologi digital ini. "
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Project Manager
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Ingin menguasai backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,-,Universitas Gunadarma,saya tertarik pada UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"UI/UX, Front End Programming Dan data scientist"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Minat saya dalam bidang IT adalah backend programming
Fakultas Psikologi,Psikologi,1PA##,Universitas Gunadarma,"Sejujurnya saya masih belum mengerti banyak hal tentang IT. Tetapi, setelah saya cari tau secara sekilas saya tertarik dengan Security Engineer"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Full Stack Developer
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Saya minat di bidang programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Minat saya ada UI/UX designe, Fontend programming, dan data science"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Machine Learing, Deep Learning"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"Tujuan saya mengikuti Google Developer Student dalam bidang it, saya ingin memahami tidak hanya kodingan tetapi apakah ada juga tentang materi linux dan ingin mempelajari tentang linux dari para senior dan cara pengerjaanya. selain itu saya ingin menambah pengetahuan bukan hanya sekedar mengikuti tetapi memahami apa saja ilmu yang akan saya dalami ssaat mengikuti Google Developer Student nanti."
Fakultas Ilmu Komputer dan Teknologi Informasi,Teknik  Informatika,1IA##,Universitas Gunadarma,Programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Saya tertarik untuk mempelajari Backen Programming.
Fakultas Teknologi Industri,Teknik  Informatika,-,Universitas Gunadarma,Programing
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"saya tertarik menjadi web developer, application developer dan business analyst "
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Akhir - akhir ini saya memiliki ketertarikan untuk mempelajari Kecerdasan Buatan dikarenakan disemester lalu saya ada mata kuliah Komputasi Big Data, dan saya juga tertarik dengan UI Design."
Fakultas Teknologi Industri,other,3i1##,Universitas Gunadarma,
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Yes, programming"
Fakultas Ilmu Komunikasi,other,2MA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Software Dev, Fullstack Dev, Data Scientist"
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,"UI/UX, Frontend, fullstack developer"
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,"Ui/ux, networking, server"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,minat aku di bidang IT itu Game develop dan Software develop. 
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Software development, Teknis Komputer, Game engineer. "
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Data security / keamanan data
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Programming 
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,"UI/UX, database program "
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"UI/UX, Flutter, Mobile App"
