Fakultas,Jurusan,Kelas,Asal kampus,Apa minat kamu?
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Web development, programmer"
Fakultas Bisnis dan Kewirausahaan,Manajemen,1DF##,Universitas Gunadarma,Multimedia dan Game
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Artificial Intelligence
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,berminat di bidang game
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"UI/UX, backend programming"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Software Development
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,Saya memiliki ketertarikan dalam dunia AI sejak saya mengikuti program studi Independent di mitra Orbit Future Leader proram AI for Gen Startup karena bidang ini merupakan ilmu untuk sekarang dan masa depan nanti yang pasti akan kita rasakan sekaran dan nanti.
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,minat saya sebagai ui ux 
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,saya tertarik dalam bidang web development dan data scientist
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Aku bakat di IT
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,"UI, front end"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,frontend & backend  programming 
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,Java dan Web
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"web development, data analyst, UI/UX"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"UI/UX,Beckend developer,mobile engineer"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,IT support dan information security analyst
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"backend,data analyst."
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Coding, programming"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,frontend programming & machine learning/artificial intelligence
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Saya memiliki minat di bidang UI (User Interface) karena saya ingin membuat tampilan yang simple dan elegant saat dilihat oleh user.
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Ui/UX atau front end
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Networking
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Web Programming
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"UI/UX Designer, web programming, dan memiliki minat sedikit di bidang pembuatan aplikasi dekstop."
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Minat saya lebih kepada frontend, khususnya UI/UX"
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Sekarang saya sedang tertarik dengan Machine Learning & Deep Learning
Fakultas Sains dan Teknologi,Teknik  Informatika,-,Universitas Teknologi Yogyakarta,Data Scientist or Research Engineer
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,"technical writer, UI/UX"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Programing dan AI
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,UI/ux
Fakultas Ilmu Komputer dan Teknologi Informasi,Teknik  Informatika,2IA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,UI/UX dan frontend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Programming, karna ingin lebih belajar tentang pemrograman"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Web programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,Minat saya adalah dalam bidang Database dan UI. Minat saya diluar bidang IT adalah fotografi dan editing.
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,programming
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Minat saya sendiri dalam hal seperti mengelola sebuah jaringan komputer dan coding atau seperti melakukan desain app seperti menggunakan flutter dll.
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,backend / frontend programming
fakultas sains dan teknologi,Psikologi,-,other,pentest
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"saya tertarik sebagai backend dev prog, sebagai orang yang merancang database dan mengelolanya, tertarik karena juga ingin belajar python dan PHP"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Front End Programming dan Back End Programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Teknik  Informatika,2IA##,Universitas Gunadarma,"saya berminat untuk membuat video game, karena itu keinginan saya sejak awal"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,pada bidang IT ini saya berminat pada UI/UX dan developer web/aplikasi. karena menurut saya kedua bidang tersebut paling di butuhkan di perusahaan saat ini hingga kedepannya. maka dari itu saya berminat untuk mempelajari kedua bidang tersebut.
Direktorat Teknologi Informasi,Manajemen,1DB##,Universitas Gunadarma,Video Editor dan Graphic desainer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,frontend programming
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,UI/UX designer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Pembuatan aplikasi
Fakultas Ilmu Komputer dan Teknologi Informasi,Teknik  Informatika,1IA##,Universitas Gunadarma,Memperluar pengetahuan teknologi
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Berminat di backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2ka##,Universitas Gunadarma,ui
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Programming maybe
Fakultas Ilmu komunikasi,Sistem Informasi,2MA##,Universitas Gunadarma,Programming
Fakultas Psikologi,Psikologi,1PA##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Data Science, Machine Learning"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"UI UX designer, front end developer dan android developer"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3ka##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Desain grafis, web programming"
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,Web backend dan Machine learning
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,saya berharap saya bisa menguasai UI/UX dan bisa juga menjadi Data analyst
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,Menyukai programming dan tertarik untuk bisa membuat aplikasi andorid sendiri
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Saat ini belum ada minat yang khusus, masih mau mempelajari semua yang ada"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Minat saya adalah di bidang UI / UX dan Mobile Developer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"Saya tertarik dalam bidang programming, khususnya dalam Robotic dan Networking serta Enterprise resource planning."
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Saya awalnya berminat ke dalam bidang Networking dan Manajemen Basis data, saya juga tertarik dan memiliki sedikit pengalaman dalam bidang multimedia sebagai hobi. Tetapi sekarang saya ingin mendalami lagi ke dalam bidang pemrograman aplikasi dan UI/UX"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Backend/font end programming, UI/UX, Web Developer"
Fakultas Teknologi Industri,Teknik  Informatika,-,Universitas Gunadarma,Saya belom mengerti banyak tentang bidang IT dan pada dasarnya saya ingin sekali banyak mengerti tentang bidang IT
Fakultas Psikologi,Psikologi,1PA##,Universitas Gunadarma,Saya tertarik dengan bidang kreatif sehingga saya ingin mengetahui lebih dalm tentang UI/UX .
Fakultas Psikologi,Psikologi,1PA##,Universitas Gunadarma,Data Analyst
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,FrontEnd uiux 
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Minat saya ada di product management dan ui/ux design 
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"UI/UX, dll"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Komputer,1DC##,Universitas Gunadarma,"Nah itu belum ada, tapi seneng aja ngeliat orang coding mwhehe"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Front end programming, UI/UX, artificial intelegence programming"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Front end
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Belakangan ini saya tertarik dengan bidang UI/UX setelah saya menghadiri seminar tentang UI/UX dan manfaatnya bagi lingkungan pekerjaan di era Revolusi Industri 4.0
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,-
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Saya suka belajar UI/UX design dan saya suka belajar database, dan saya ingin memperdalam tentang digital marketing karena di industri 5.0 sangat berkaitan dengan tekhnologi dan saya berusaha agar bisa dan mampu bersaing di era di industri 5.0"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3ka##,Universitas Gunadarma,web development
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,"saya belum memukan minat karna saya baru dalam bidang it jadi saya kemungkinan akan mencari yang cocok dengan saya di waktu yang akan datang
"
Fakultas Teknik,Teknik  Informatika,-,Universitas Muhammadiyah Prof. Dr.Hamka,"UI/UX, Data Scientist, Data Analyst"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Ingin belajar dan mendalami di bidang IT, di karenakan saya belum mempunya kemampuan dalam bidang IT."
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,saya minat di backend programming karena saya merasa banyak yang belum saya ketahui di backend 
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Ui ux
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,UI/UX
Ilmu Komunikasi,other,2MA##,Universitas Gunadarma,
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Web Development
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"saya ingin sekali menguasai bidang website seperti backend, frontend, dsb. dan juga menguasai bahasa program seperti, html, phyton, java, php, c++ dsb.  dan tentunya mendalami salah satu atau beberapa bidang tersebut."
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,4KA##,Universitas Gunadarma,"Minat saya sekarang lebih berfokus kepada pengembangan aplikasi android, saya juga memiliki sedikit pengetahuan pada bidang UI UX sehingga saya harap saya dapat membuat suatu aplikasi yang cantik."
Fakultas teknik informatika ,Teknik  Informatika,Buk##,Universitas Muhammadiyah Prof. Dr.Hamka,Berminat di bidang ui/ux karena saya suka dengan sebuah tantangan di dalam desain gambar 
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Saya minat di bidang programming
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Frontend Programming
Fakultas Teknologi Industri,Teknik  Informatika,3ia##,Universitas Gunadarma,"backend programming, networking"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,UI/UX Karena saya sangat suka sekali design 
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Game developer
Fakultas Teknologi Industri,Teknik Industri,1ID##,Universitas Gunadarma,"Dalam menjalankan perkuliahan saat ini khususnya untuk jurusan yang saya pilih, teknik industri, saya akan mempelajari beberapa bidang IT diantaranya Dasar komputer, pemrograman (coding)"
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,"Frontend programming, backend programming, machine learning, motion graphic."
Fakultas Teknologi Industri,Teknik Industri,21D##,Universitas Gunadarma,
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Database, web programming"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Untuk saat ini saya tertarik dalam bidang database. 
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"web, ui/ux dan networking"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,DBMS
